Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
2012-06-17,AliceSprings,0.4,19,0,5,10,SE,35,NA,ESE,0,20,45,26,1028.6,1025.5,0,1,10.4,18.5,No
2012-06-18,AliceSprings,0.7,19.1,0,4,10.1,ESE,33,NA,ESE,0,19,61,27,1028.7,1024.9,0,0,9.2,18.2,No
2012-06-19,AliceSprings,-0.5,20,0,3.8,10.1,E,33,N,E,6,17,59,24,1026.3,1021.3,0,0,9.6,19.1,No
2012-06-20,AliceSprings,-1.4,23.9,0,3.4,10.1,NNW,30,NNW,N,7,9,35,14,1022.4,1017.1,0,0,12.6,23.3,No
2012-06-21,AliceSprings,5.1,26.1,0,4.4,10.1,NW,46,N,WNW,15,20,18,4,1016.9,1012.6,1,1,16.4,25.3,No
2012-06-22,AliceSprings,2.9,14.8,0,7.6,10,SSE,43,S,SSE,20,19,60,22,1024.3,1022.6,1,0,7.8,14.3,No
2012-06-23,AliceSprings,-0.7,15.7,0,4.4,9.9,ESE,46,SSE,SSE,15,22,48,31,1028.7,1026.3,1,1,8.3,14.6,No
2012-06-24,AliceSprings,-3.4,14.8,0,4,10,E,50,ESE,SE,11,28,55,24,1031.4,1028.4,3,1,5.4,13.8,No
2012-06-25,AliceSprings,-3.4,15.5,0,4.4,10.2,ESE,50,SE,SE,13,28,54,16,1030.9,1026.7,1,0,6.6,14.5,No
2012-06-26,AliceSprings,-3.4,16.7,0,4.2,10.2,ESE,44,SE,SE,13,26,56,24,1028,1023.9,1,1,7.4,16.6,No
2012-06-27,AliceSprings,-1.5,19.1,0,4,10.1,E,33,W,ESE,2,13,63,23,1024.9,1020.1,0,0,6.1,18.2,No
2012-06-28,AliceSprings,-1.3,23.1,0,3.2,10.1,ENE,17,NA,NW,0,7,43,11,1020.7,1015.7,1,1,8.1,22,No
2012-06-29,AliceSprings,1.9,20.9,0,3.8,10.1,S,31,SW,SSE,11,15,23,22,1019.1,1015.8,0,0,12.8,20.4,No